TIPE;KATA;SUKU KATA;DEFINISI;KELAS KATA;CONTOH BANJAR;CONTOH INDO
UTAMA;abad;a.bad;abad;Kata Benda;sudah saabad umur niniku;sudah seabad umur nenekku
UTAMA;abadan;a.ba.dan;terbiasa, pembawaan, kebiasaan;;jangan bajajumput bat urang, jadi abadan kena;jangan mengambil kepunyaan orang, jadi terbiasa nanti
UTAMA;abah;a.bah;ayah, bapak;;;
UTAMA;abat;a.bat;tahan, kunci, piting;;;
TURUNAN DARI: abat;diabat;di.a.bat;ditahan, dikunci (dalam permainan catur), sehingga lawan tidak dapat bergerak;;;
UTAMA;abdol;ab.dol;afdol, baik;;;
UTAMA;abis;;cak habis:;;makanannya sudah abis kumakan;makanannya sudah habis kumakan
UTAMA;abuh;ab.uh;punyakit bengkak, kembung dan seperti berair;;;
UTAMA;abun;ab.un;abun (tempat alat jahitan, perhiasan dan sebagainya terbuat dari kayu atau kuningan);;;
UTAMA;abut;a.but;ributt;v;jangan abut;jangan ribut
TURUNAN DARI: abut;baabut;;"a ribut; ramai:";;jangan tapi baabut, aku handak guring;jangan ribut, aku mau tidur
UTAMA;abuya;a.buya;pak haji;Nomina (Kata Benda);;
UTAMA;acan;;terasi;;;
TURUNAN DARI: acan;baacan;;;;menggunakan terasi: inya katuju banar maolah sambal baacan;ia suka sekali membuat sambal terasi
TURUNAN DARI: acan;maacani;;;;membubuhkan terasi: jangan kada ingat maacani sambal nang ikam pirik tu;jangan lupa membubuhkan terasi di sambal yang kamu ulek itu
UTAMA;acar;;acar;;;
TURUNAN DARI: acar;baacar;;menggunakan acar:;;sidin makan baacar mangga;beliau makan menggunakan acar mangga
TURUNAN DARI: acar;baacar;;ada acarnya;;makanan di piringku balum baacar;makanan di piringku belum ada acarnya 
UTAMA;acara;;acara;;acaranya di langga;acaranya di musala
UTAMA;aci;;selalu, melulu;;aci bat ikam aja nang dikajal;selalu kepunyaanmu saja yang dipaksakan
TURUNAN DARI: aci;baaci;;berhati-hati;;lakasi pang tatak, jangan baaci banar;lekaslah potong, jangan berhati-hati benar
TURUNAN DARI: aci;maaci;;menonjolkan;;maaci kahandaknya ja;menonjolkan kehendaknya saja
UTAMA;acil;;n bibi;;;
UTAMA;acung;;acung;;;
TURUNAN DARI: acung;baacungan;;dalam keadaan teracung;;mana wani, mun lading baacungan;mana berani, kalau belati dalam keadaan teracung
TURUNAN DARI: acung;maacungakan;;mengacungkan;;;
UTAMA;ada;;ada;;mamaku ada di rumah;ibuku ada di rumah 
TURUNAN DARI: ada;baada;;berada, kaya;;;
TURUNAN DARI: ada;maada-ada;;mengada-ada, memfitnah;;jangan maada-ada;jangan mengada-ada
TURUNAN DARI: ada;kadada;;tidak ada;;kadada duit;tidak ada uang
TURUNAN DARI: ada;kadada;;"tidak berada; miskin";;aku ni urang kadada;saya ini orang miskin
TURUNAN DARI: ada;adakah;;"pron adakah; apakah ada: ";;adakah ikam baisi pulpen?;adakah kamu punya pulpen?
UTAMA;adab;;adab, sopan santun;;;
TURUNAN DARI: adab;baadab;;beradab;;urang anum harus baadab wan nang tuha;anak muda harus beradab dengan yang tua
UTAMA;adam;;Adam (nabi pertama yang diutus Allah Swt. );;;
UTAMA;adangan;;kerbau;;;
UTAMA;adap;;iih, ADAB;;;
UTAMA;adas;;;;;
TURUNAN DARI: adas;adas manis;;(nama sejenis rempah-rempah);;;
UTAMA;adat;;adat;;;
TURUNAN DARI: adat;baadat;;beradat:;;inya kawin baadat Banjar;ia menikah memakai adat Banjar
UTAMA;adha;;(idul) adha;;;
UTAMA;adi;;(BK);;;
TURUNAN DARI: adi;maadi-adi;;malas, bertingkah;;lakasi mandi, jangan maadi-adi;cepat mandi, jangan bertingkah
UTAMA;adil;;adil;;wadainya kita bagi lima sakira adil,;kuenya kita bagi lima supaya adil
UTAMA;ading;;adik, adinda;Nomina (Kata Benda);;
TURUNAN DARI: ading;baading;;beradik (mempunyai adik);;;
TURUNAN DARI: ading;maadingakan;;menjadikan sebagai adik (dalam hal usia);;tuhanya bini, kawa maadingakan;tua sekali isteri, dapat menjadikan (nya) sebagai adik
TURUNAN DARI: ading;sapaadingan;;sepersaudaraan;;kalahai aku mun aku dikarubuti sapaadingan;tentu saja saya kalah kalau saya dikeroyoknya sepersaudaraan
UTAMA;adon;;(BK) adon;;adon dahulu bahan nang ada;adon dulu bahan yang ada
TURUNAN DARI: adon;adonan;;adonan (adukan tepung dengan air gula dan sebagainya untuk membuat kue);;;
TURUNAN DARI: adon;maadon;;membuat adonan;;inya lagi maadon galapung gasan diolah wadai;sedang mengadon tepung untuk dibuat kue
TURUNAN DARI: adon;maadoni;;mengadon sesuatu ;;;
UTAMA;adu;;adu;;;
TURUNAN DARI: adu;baadu;;bertanding;;rami kanakan baadu kalayangan;ramai anak-anak beradu layang layang
TURUNAN DARI: adu;maadu;;mengadu ;;inya katuju banar maadu kalayangan;ia suka sekali mengadu layang layang
TURUNAN DARI: adu;paraduan;;pertandingan;;;
TURUNAN DARI: adu;baadu-adu;;mengadu (sambil memburukkan orang lain);;inya manangis sambil baadu-adu lawan kuitannya;ia menangis sambil mengadu pada orang tuanya
TURUNAN DARI: adu;adu asah;;penghasut, pengadu domba;;;
UTAMA;aduh;a.duh;aduh;;aduh, sakit batisku tajajak paku, ;aduh, sakit kakiku terinjak paku
TURUNAN DARI: aduh;baaduh;;mengaduh:;;inya kasakitan, matan tadi inya baaduh;ia kesakitan, sejak tadi ia mengaduh
UTAMA;aduk;;tali ijuk;;;
TURUNAN DARI: aduk;baaduk;;beraduk:;;banyu di galas sudah baaduk, ; air di gelas sudah beraduk
TURUNAN DARI: aduk;maaduk;;mengaduk;;inya maaduk banyu di galas lawan sasudu;ia mengaduk air di gelas dengan sendok
UTAMA;adungan;;hampal (nama sejenis ikan);;;
UTAMA;adupan;;(BK) anjing;;;
UTAMA;aga;;gagap;;;
UTAMA;agak;;gagah;;umailah agaknya sidin tu;aduh gagahnya beliau itu
TURUNAN DARI: agak;baagak;;berlagak, menyombongkan diri;;inya katuju banar baagak mun mamakai baju hanya;ia suka sekali berlagak jika memakai baju baru
TURUNAN DARI: agak;maagaki;;(memperlihatkan sikap atau sesuatu untuk memanaskan hati orang);;saban kalian baisi baju hanyar, inya tu katuju banar maagaki kakawanannya;setiap kali memiliki baju baru, ia senang sekali berlagak kepada kawankawannya
TURUNAN DARI: agak;paagakan;;sombong, suka berlagak;sifat;inya tu paagakan banar,;ia itu suka sekali berlagak 
UTAMA;agama;;agama;;;
UTAMA;agar;;;;;
TURUNAN DARI: agar;agar-agar;;agar-agar;;;
UTAMA;agas;;tikus kecil-kecil (hama padi);;;
TURUNAN DARI: agas;maagas;;buas, ganas seperti agas;;inya kelaparan laluai makan agas;karena terlalu lapar lalu makan buas seperti agas
UTAMA;agung;;gong;;;
UTAMA;ah;;(kata seru);;;
UTAMA;ahad;;ahad;;;
UTAMA;ahas;;(sejenis rotan besar);;;
UTAMA;aherat;;(BK) akhirat;;;
UTAMA;ahlak;;akhlak;;;
UTAMA;ahli;;ahli, pandai;;;
UTAMA;ahui;;;;;
TURUNAN DARI: ahui;baahui;;(bergotong royong melepaskan butir padi dari tangkainya dengan cara menginjak-injak);;;
TURUNAN DARI: ahui;kapala ahui;;pemimpin, pelopor;;siapa kapala ahuinya sini;siapa pemimpinnya di sini
UTAMA;ai;;(kata seru);;;
UTAMA;airguci;;(kepingan logam kecil yang berkilauan, untuk menghiasi tabir, pakaian dan sebagainya);;;
UTAMA;aja;;saja;;;
UTAMA;ajab;;ajab, siksa;;;
UTAMA;ajak;;kalah (dalam permainan anak-anak);;;
TURUNAN DARI: ajak;baajakan;;(selalu) menggoda (terhadap anak-anak);;jangan baajakan ja, mauk kupala;jangan menggoda (anak-anak), pusing kepala
TURUNAN DARI: ajak;maajak;;menggoda, mengolok-olok;;;
UTAMA;ajakan;;(BK) (lumpur tebal yang terapung);;;
UTAMA;ajal;;nasib, takdir;;halin ai sudah ajal;boleh apa buat, sudah nasib
UTAMA;ajap;;iih AJAB;;;
UTAMA;ajar;;ajar;;;
TURUNAN DARI: ajar;maajar;;mengajar;;gawiannya maajar di SD ;pekerjaannya mengajar di SD
TURUNAN DARI: ajar;maajar;;menghajar;;mun sudah aku nang maajar hanyar tahu;kalau sudah saya yang menghajar baru tahu
UTAMA;aji;;haji;;;
UTAMA;ajin;;jangan-jangan;;ajin sidin sudah datang;jangan-jangan beliau sudah datang
UTAMA;ajung;;ajung, pembantu (nama kepangkatan);;;
UTAMA;akai;;aduh (kata seru);;akai sakitnya;aduh sakitnya
UTAMA;akaiah;;iih AKAI;;;
UTAMA;akal;;akal;;;
TURUNAN DARI: akal;maakal;;curang, mengecoh;;;
TURUNAN DARI: akal;maakali;;mencurangi;;;
TURUNAN DARI: akal;maakali;;mengakali, mencari akal;;;
UTAMA;akar;;akar;;;
TURUNAN DARI: akar;akar tatau;;(BH) akar gantung;;;
UTAMA;akat;;akad, perjanjian;;batatukar harus baakatlah;berjual beli harus berakad
UTAMA;aki;;aki;;;
UTAMA;akik;;akik;;;
UTAMA;akil;;;;;
TURUNAN DARI: akil;akil balik;;dewasa, sampai umur;;;
UTAMA;akta;;(BH) akte;;;
UTAMA;aku;;aku, saya;;;
UTAMA;akur;;setuju, cocok;;macam apa, akur jakah harganya;bagaimana, setuju sajakah harganya
TURUNAN DARI: akur;baakur;;berdamai;;;
TURUNAN DARI: akur;maakuri;;menyetujui;;;
TURUNAN DARI: akur;maakurakan;;menyelesaikan;;;
TURUNAN DARI: akur;maakurakan;;mendamaikan;;;
UTAMA;alah;;kalah;;;
TURUNAN DARI: alah;baalah;;mengalah;;;
TURUNAN DARI: alah;maalahakan;;mengalahkan;;;
TURUNAN DARI: alah;alahan;;lebih-lebih, tambahan;;mun inya tu alahan lagi culasnya;kalau dia itu lebih-lebih lagi curangnya
UTAMA;alalang;;lalang;;;
UTAMA;alam;;alam;;;
UTAMA;alang;;(burung) elang;;;
TURUNAN DARI: alang;alang-alang;;kepalang, tanggung;;;
TURUNAN DARI: alang;alangan;;halangan;;;
UTAMA;alangan;;halangan;;;
UTAMA;alar;;sayap;;;
UTAMA;alas;;(BK) hutan;;;
UTAMA;alat;;alat, perkakas;;;
UTAMA;alawit;;(sejenis alat penangkap ikan, terbuat dari rajut benang, berbingkai bentuk oval atau bundar);;;
UTAMA;aler;;(BK);;;
TURUNAN DARI: aler;maaler;;mengail (buaya), menangkap buaya dengan matera;;;
TURUNAN DARI: aler;paaleran;;pawang buaya;;;
UTAMA;alguju;;(BH) algojo;;;
UTAMA;alih;;alih, pindah;;baalih rumah;pindah rumah
UTAMA;alili;;(BH) kembang api;;;
UTAMA;aliling;;(nama sejenis siput sawah);;;
UTAMA;alim;;berilmu agama (islam), santeri;;;
TURUNAN DARI: alim;baalim;;menjadi alim;;salawas datang haji, pina baalim sidin;sesudah datang dari tanah suci kelihatannya menjadi alim beliau
TURUNAN DARI: alim;a'aliman;;agak santri;;;
TURUNAN DARI: alim;urang alim;;kiyai, orang berilmu agama (islam);;;
UTAMA;alip;;(huruf pertama abjad Arab);;;
TURUNAN DARI: alip;alip-alipan;;(nama buku pelajaran membaca bahasa arab);;;
UTAMA;alir;;(BH) iih ALER;;;
UTAMA;alis;;alis;;;
UTAMA;alkah;;tempat penguburan (orang islam);;;
UTAMA;allah;;Allah;;;
UTAMA;alon;;(BK) perlahan;;;
TURUNAN DARI: alon;alon-alon;;perlahan-lahan;;;
TURUNAN DARI: alon;alon-alon;;tanah lapang;;kita maliat karasmin di alon-alon;kita melihat keramaian di tanah lapang
UTAMA;alpa;;absen, alpa;;;
UTAMA;aluh;;(BK) (panggilan untuk anak perempuan atau wanita pada umumnya);;;
UTAMA;alun;;(BH) iih ALON;;;
TURUNAN DARI: alun;alun-alun;;tanah lapang;;;
UTAMA;alung;;(dari daun) pembungkus, kantong (dari kertas);;;
TURUNAN DARI: alung;maalung;;membuat pembungkus;;;
TURUNAN DARI: alung;maalung;;membungkus;;;
UTAMA;alur;;garis memanjang;;;
UTAMA;amal;;amal;;;
TURUNAN DARI: amal;baamal;;beramal;;;
TURUNAN DARI: amal;maamalakan;;mengamalkan;;;
TURUNAN DARI: amal;taamal;;terbiasa;;;
TURUNAN DARI: amal;amalan;;kebiasaan, ilmu;;;
UTAMA;aman;;aman;;;
UTAMA;amanah;;amanat, pesan, titipan;;;
UTAMA;amandal;;(BH) amandel;;;
UTAMA;amang;;paman (panggilan pada laki-laki yang berumur);;;
UTAMA;amar;;mar (dalam permainan catur, mengingatkan bahwa menteri di kenai);;;
UTAMA;amas;;emas;;;
UTAMA;amat;;mat (dalam permainan catur, mengingatkan bahwa raja telah dikalahkan);;;
UTAMA;ambah;;terobos, jelajah;;;
TURUNAN DARI: ambah;maambah;;menjelajah, menerobos;;jangan maambah padang jaruju, durinya banyak;jangan menerobos hutan jeruju, durinya banyak
UTAMA;ambai;;;;;
TURUNAN DARI: ambai;ambai-ambai;;(nama sejenis rumput menjalar yang buahnya enak unruk asinan);;;
UTAMA;ambak;;pendiam, tidak banyak bicara;;;
UTAMA;ambal;;selimut;;;
UTAMA;amban;;salut, ikat (dengan mas, perak dan sebagainya);;;
TURUNAN DARI: amban;baamban;;bersalut;bersalut;;
TURUNAN DARI: amban;maamban;;menyalut, mengikat;;;
UTAMA;ambang;;(nama senjata orang Banjar);;;
UTAMA;ambat;;milik, kepunyaan;;ambat siapa ni;milik siapa ini
UTAMA;ambawang;;(nama sejenis buah);;;
UTAMA;ambayang;;bayang-bayang;;;
UTAMA;ambil;a.mbil;ambil;;;
TURUNAN DARI: ambil;maambil;;mengambil;;;
TURUNAN DARI: ambil;maambili;;menjemput;;;
TURUNAN DARI: ambil;ambilan;;rampasan;;;
UTAMA;ambin;;;;;
TURUNAN DARI: ambin;ambin sayup;;(bagian dalam dinding dari ruangan muka pada rumah Banjar);;;
UTAMA;ambul;;(tanah timbul yang dapat berpindah-pindah tempat);;;
UTAMA;ambun;;embun;;;
UTAMA;ambung;;ambung, melempar ke atas;;;
TURUNAN DARI: ambung;maambung;;melempar ke atas;;maambung bola;melemparkan bola ke atas
TURUNAN DARI: ambung;maambung;;memuji-muji;;jangan talalu ambung ja pander;jangan terlampau memuji-muji bicara
TURUNAN DARI: ambung;ambungan;;suka dipuji;;;
TURUNAN DARI: ambung;taambung;;terlempar keatas;;;
UTAMA;ambuntut;;;;;
TURUNAN DARI: ambuntut;baambuntut;;(tidur dengan kelambu yang tergantung pada ke-empat sudutnya);;;
UTAMA;ambut;;;;;
TURUNAN DARI: ambut;maambut;;melepaskan sabut (kelapa);;;
UTAMA;amin;;amin;;;
UTAMA;ampah;;(BH) arah, tujuan;;hidin te bajalan ampah kasia;beliau tadi berjalan arah kemari 
UTAMA;ampal;;empal, perkedel;;;
UTAMA;ampalan;;mempelam;;;
UTAMA;ampalas;;empelas;;;
UTAMA;ampang;;empang;;;
UTAMA;ampar;;hampar, gelar;;maampar tikar;menggelar tikar
UTAMA;ampas;;empas;;;
UTAMA;ampat;;empat;;;
UTAMA;ampih;;berhentilah;;;
TURUNAN DARI: ampih;baampih;;berhenti;;;
TURUNAN DARI: ampih;maampihi;;memberhentikan, menghentikan;;;
UTAMA;ampik;;tepuk tangan;;;
TURUNAN DARI: ampik;baampik;;bertepuk tangan;;;
TURUNAN DARI: ampik;maampiki;;menyoraki, menepukkan tangan;;;
UTAMA;ampinak;;iih HAMPINAK;;;
UTAMA;amping;;emping;;;
UTAMA;amplang;;(nama sejenis kerupuk);;;
UTAMA;amplok;;(BK) amplop, sampul surat;;;
UTAMA;ampuh;;mujarab;;;
UTAMA;ampul;;;;;
TURUNAN DARI: ampul;ati ampul ;;paru-paru ayam;;;
UTAMA;ampun;;milik;;ampunku;milikku
TURUNAN DARI: ampun;baampunan;;saling mengampuni ;;;
UTAMA;amput;;dusta (iih KARAMPUT);;;
UTAMA;amu;;(BH) berita, alamat, tanda hidup;;;
UTAMA;an;;bentuk terikat untuk  menyatakan subjek  dalam kalimat  tersebut lebih  daripada satu;;daun  di pohon guguran  imbah ditiup angin;daun di pohon pada  jatuh setelah ditiup  angin
UTAMA;anah;;titip, serah;;;
TURUNAN DARI: anah;baanah;;bertitip;;umpat baanah satumat;numpang bertitip sebentar
TURUNAN DARI: anah;baanah;;berpesan;;kurinah aku baanah lawan inya, sakalinya kada mangaku;jelas saya berpesan kepadanya, ternyata tidak mengaku
TURUNAN DARI: anah;maanahakan;;menitipkan, menyerahkan;;;
UTAMA;anai;;;;;
TURUNAN DARI: anai;abai-anai;;anai-anai, rayap;;;
UTAMA;anak;;anak;;;
TURUNAN DARI: anak;baranak;;melahirkan anak;;;
TURUNAN DARI: anak;baranakan;;mempunyai anak;;;
TURUNAN DARI: anak;anakan ;;(BH) anak ikan kecil-kecil;;;
TURUNAN DARI: anak;a'anakan;;boneka;;;
TURUNAN DARI: anak;anak lusuk;;iih LUSUKAM;;;
TURUNAN DARI: anak;anak piak;;anak ayam (baru tumbuh bulu);;;
UTAMA;anam;;enam;;;
UTAMA;anang;;(gelar bangsawan Banjar);;;
UTAMA;anau;;enau;;;
UTAMA;anca;;;;;
TURUNAN DARI: anca;baanca;;ragu-ragu, menahan diri, setengah-setengah;;jangan baanca lah makan;jangan ragu-ragu ya makan 
TURUNAN DARI: anca;aancaan;;main-main, tidak sungguhan;;;
UTAMA;ancah;;kuah, sambal;;;
UTAMA;ancak;;tetampan (terbuat dari bambu untuk meletakkan sesajen dan sebagainya);;;
UTAMA;ancam;;ancam;;;
TURUNAN DARI: ancam;ancaman;;rencana;;ancaman tadi handak kapasar;rencana tadi hendak ke pasar
UTAMA;ancangan;;jangan-jangan;;pina sunyi, ancangan sidin kadada dirumah;kelihatannya sepi, jangan-jangan beliau tidak ada di rumah
UTAMA;ancap;;(BH) cepat (iih HANCAP);;;
UTAMA;ancau;;jangkung;;;
UTAMA;ancur;;lem (terbuat dari kulit sapi yang direbus untuk gelas tali layang-layang);;;
UTAMA;andah;;(BH) numpang (sementara);;;
TURUNAN DARI: andah;baandah;;ikut menumpang (sementara);;kamana aku baandah malam ini;kemana saya ikut menumpang malam ini
UTAMA;andak;;letak;;;
TURUNAN DARI: andak;baandak;;terletak;;tadi kulihat baandak disini;tadi saya lihat terletak disini
TURUNAN DARI: andak;maandaki;;meletakkan;;;
TURUNAN DARI: andak;kaandakan;;tempat meletakkan;;;
UTAMA;andal;;(BK) sombong;;;
TURUNAN DARI: andal;baandal;;(pinjaman uang dengan jaminan barang);;;
TURUNAN DARI: andal;andalan;;jaminan;;;
UTAMA;andasut;;(BH) iih HANDASUT;;;
UTAMA;andayang;;pelepah (daun kelapa);;;
UTAMA;andi;;;;;
TURUNAN DARI: andi;andi-andi;;dongeng;;;
TURUNAN DARI: andi;baandi-andi;;mendongeng;;;
UTAMA;andika;;(BH) kamu;;;
UTAMA;andil;;saham;;;
UTAMA;andin;;(gelar kebangsawanan Banjar);;;
UTAMA;anduh;;;;;
TURUNAN DARI: anduh;maanduh-anduh;;(bicara besar, seperti meyakinkan tetap banyak bohongnya);;panderja maanduh-anduh gawinya maka am kada talihat;bicaranya saja besar, tetapi kerjanya tidak terlihat
UTAMA;andui;;(BH) jantung;;;
UTAMA;anduk;;(BK) handuk;;;
UTAMA;andung;;(sejenis tanaman yang mengandung khasiat) ;;;
UTAMA;andup;;(BH) tukar, bertukar;;;
UTAMA;angah;;(sapaan untuk saudara ibu atau ayah nomor 3 dari yang tertua) ;;;
UTAMA;angai;;;;;
TURUNAN DARI: angai;baangaian;;tidak tertutup;;kanapa wadai ni diliat akan baangaian;kenapa kue ini dibiarkan tidak tertutup
UTAMA;angak;;;;;
TURUNAN DARI: angak;angak-angak;;(orang) dalam keadaan sakit payah;;;
UTAMA;angas;;;;;
TURUNAN DARI: angas;maangas-angas;;tanggung, tidak puas;;rasa maangas-angas banar malihat ikam ni bagawi;rasa tidak puas benar melihat kau ini bekerja
UTAMA;anggah;;sebutan untuk ayah atau ibu dari datuk;;;
UTAMA;anggal;;paruh, sebagian;;;
TURUNAN DARI: anggal;baanggal;;separuh;;masak baanggal ;masak separuh (tidak seluruhnya)
UTAMA;anggang;;enggang (sejenis burung);;;
UTAMA;anggap;;anggap;;;
TURUNAN DARI: anggap;baanggapan;;beranggapan;;;
TURUNAN DARI: anggap;maanggap;;tersinggung;;maanggap kah inya tasarahai lagi;tersinggungkah dia terserah saja lagi
TURUNAN DARI: anggap;paanggapan;;si lekas marah, si lekas tersinggung, lekas merajuk;;;
UTAMA;anggar;;menaksir;;;
TURUNAN DARI: anggar;maanggar;;taksir, kira;;;
UTAMA;anggat;;terhenti, terputus (bukan musimnya);;pina anggat buah durian wayah ini;seperti terhenti buah duren sekarang ini
TURUNAN DARI: anggat;baanggat;;berhenti;;;
UTAMA;anggerek;;anggerek;;;
UTAMA;anggerik;;(BH) anggerek;;;
UTAMA;anggih;;milik, kepunyaan;;ini anggihku;ini milikku
UTAMA;anggit;;(BH) Iih anggih;;;
UTAMA;angguh;;main;;;
TURUNAN DARI: angguh;kada angguh-angguh;;tidak main-main, sungguh-sungguh;;kada angguh-angguh ikam ni masih kula parak lawanku;sungguh-sungguh kau ini masih family dekat dengan saya
UTAMA;anggung;;bawa, pikul, angkat;;kamana maanggung kursi tu;kemana membawa kursi itu
UTAMA;anggur;;anggur;;;
UTAMA;angin;;angin;;;
TURUNAN DARI: angin;baangin-angin;;makan angin, bersenang-senang;;limbah tuntung gawian ku ni baangin-angin ai lagi ah;sehabis selesai pekerjaanku ini bersenang-senang saja lagi
TURUNAN DARI: angin;mati angin;;sialan;;;
UTAMA;angka;;angka, nilai;;dapat angka barapa baitung;mendapat nilai berapa berhitung
UTAMA;angkaat;;(BH) angkat (Iih bangkit);;;
UTAMA;angkal;;setengah;;;
TURUNAN DARI: angkal;mangkal;;setengah-setengah;;;
UTAMA;angkat;;angkat;;;
TURUNAN DARI: angkat;baangkatan;;dapat diangkat;;jumbatan baangkatan;jembatan yang dapat diangkat
UTAMA;angkit;;(BH) pura-pura, seolah-olah;;ikam nia angkit pamamintarnya haja;kau ini seolah-olah paling pintar saja
UTAMA;angkup;;penjepit, pencabut (bulu kumis dan sebagainya);;;
UTAMA;angkut;;(BH) iih Hangkut;;;
TURUNAN DARI: angkut;angkut-angkut;;sejenis kumbang yang membuat sarangnya dirumah-rumah dari tanah;;;
UTAMA;anglo;;(BK) (dapur dari besi atau tanah, bentuk bulat tinggi);;;
UTAMA;angsa;;(itik) angsa;;;
UTAMA;angsal;;ganjal;;;
UTAMA;angsana;;(bunga) angsana;;;
UTAMA;angsuka;;(pohon) angsoka;;;
UTAMA;angsul;;kembali, susuk;;;
TURUNAN DARI: angsul;angsulan;;uang kembali;;mana angsulanku?;mana uang kembali saya?
TURUNAN DARI: angsul;maangsul;;menyusuk, memberi uang kembali;;;
UTAMA;angsur;;angsur, cicil;;;
UTAMA;anguh;;;;;
TURUNAN DARI: anguh;anguh-anguh;;tidak berketentuan;;anguh-anguh duduk tang tinggi ja ari;tidak berketentuan duduk tiba-tiba hari sudah tinggi
UTAMA;angui;;bunglon;;;
UTAMA;anguk;;;;;
TURUNAN DARI: anguk;anguk-anguk;;nganggur, duduk tanpa kerja;;apa diulah duduk angui-angui disitu;apa yang dikerjakan duduk nganggur disitu
UTAMA;antah;;antah, sisa gabah dalam beras (yang tidak pecah waktu ditumbuk);;;
UTAMA;antang;;;;;
TURUNAN DARI: antang;antangan;;sekitar, dekat;;ambilakan bajuku antangan lamari ;ambilkan bajuku dekat lemari
TURUNAN DARI: antang;antangan;;(sesuatu) yang diharapkan;;jangan wani bautang, kada bisi antangannya;jangan berani berhutang, tidak punya yang diharapkan
TURUNAN DARI: antang;maantang;;(menempatkan) sembarangan;;jangan maantang maandak duit;jangan sembarangan meletakkan uang
TURUNAN DARI: antang;taantang;;terletak sembarangan;;;
UTAMA;antara;;antara;;;
TURUNAN DARI: antara;maantara;;tidak ada harapan untuk dapat hidup;;mun malihat garingnya maantara sako;kalau melihat sakitnya mungkin tidak ada harapan untuk hidup
UTAMA;antas;;pintas;;jalan maantas;jalan memintas
TURUNAN DARI: antas;antasan;;sungai memintas, kanal, terusan;;;
TURUNAN DARI: antas;maantas;;memintas;;;
UTAMA;anteri;;anteri;;;
UTAMA;antin;;(panggilan terhadap saudara ipar tua);;;
UTAMA;anting;;;;;
TURUNAN DARI: anting;anting-anting;;anting-anting;;;
UTAMA;antui;;;;;
TURUNAN DARI: antui;baantui;;bergantung (buah, benda, dan sebagainya);;;
TURUNAN DARI: antui;maantui;;bergantungan;;;
UTAMA;antul;;;;;
TURUNAN DARI: antul;maantul;;(lihat MENTUL);;;
UTAMA;antum;;untai, ayat;;saantum dua antum;seayat dua ayat
UTAMA;antung;;(gelar keturunan bangsawan Banjar;;;
UTAMA;anu;;(sesuatu yang tidak tentu );;si anu, sa anu;
TURUNAN DARI: anu;maanu;;mengganggu, mengerjain;;jangan maanu aku;jangan mengganggu saya
UTAMA;anum;;muda;;;
UTAMA;anyak;;jelas, tandas;;sudah anyak banar;sudah jelas benar
TURUNAN DARI: anyak;maanyaki;;minta penjelasan atau kepastian;;;
UTAMA;anyar;;(BK) baru;;;
UTAMA;apa;;apa;;;
TURUNAN DARI: apa;baapa;;untuk apa;;baapa aku manggawi nitu;untuk apa saya mengerjakan yang itu
TURUNAN DARI: apa;nangapa;;soal apa;;nangapa garang?;apa gerangan
TURUNAN DARI: apa;nangapa apa;;apa saja;;nangapa apa hilang;apa saja hilang
TURUNAN DARI: apa;kenapa;;kenapa, mengapa;;;
TURUNAN DARI: apa;saapa;;berapa;;saapa harganya;berapa harganya
UTAMA;apal;;appel;;;
UTAMA;apam;;apa;;;
UTAMA;apan;;(nama sejenis kue);;;
UTAMA;apar;;(BH) apa;;;
TURUNAN DARI: apar;apar-apar;;(kayu atau bambu yang dibuat selang-seling, bertiang, sebagai tempat jemuran atau tempat tanaman menjalar);;;
UTAMA;api;;api;;;
TURUNAN DARI: api;baapi;;berapi;;;
TURUNAN DARI: api;maapii;;memberi api, menghasut;;jangan maapii, magin nya ai inya panas;jangan menghasut, semakin panas dia
UTAMA;apik;;hemat, hati-hati;;;
TURUNAN DARI: apik;baapik;;berhemat, berhati-hati;;;
TURUNAN DARI: apik;maapiki ;;menghemat;;;
UTAMA;apilan;;cobaan;;tahan apilan;tahan cobaan
UTAMA;apu;;;;;
TURUNAN DARI: apu;maapu;;(umbi yang menua hingga rusak dan habis patinya);;;
UTAMA;apuah;;tuah, sakti;;keres ba apuah;keris bertuah
UTAMA;arab;;arab;;;
UTAMA;arai;;sombong, lagak, pamer;;;
TURUNAN DARI: arai;baagak;;berlagak;;;
TURUNAN DARI: arai;maaraiakan;;mempertontonkan, memperlihatkan, memamerkan;;;
UTAMA;arak;;awan, mega;;;
TURUNAN DARI: arak;baarak;;membawa mempelai laki-laki ketempat wanitanya;;;
TURUNAN DARI: arak;maarak;;mempertontonkan berkeliling;;;
UTAMA;aral;;halangan, rintangan, musibah;;;
TURUNAN DARI: aral;datang aral;;datang haid;;;
UTAMA;arang;;arang (Iih HARANG);;;
UTAMA;aras;;;;;
TURUNAN DARI: aras;aras-arasan;;malas, segan (karena lesu);;;
TURUNAN DARI: aras;tiang aras;;takhta Tuhan ('arsy);;;
UTAMA;arba;;rabu;;;
UTAMA;ari;;hari;;;
TURUNAN DARI: ari;ari-ari;;bagian perut sebelah bawah;;;
UTAMA;arian;;gotong royong;;isuk giliran baarian di wadah si palui;besok giliran bergotong royong ditempat si palui
UTAMA;arit;;arit (pisau);;;
UTAMA;arpah;;(padang) arafah;;;
UTAMA;arti;;arti;;;
UTAMA;aruah;;arwah, mendiang;;;
